name,albumID,trackNumber,releaseDate,spotifyURL
How Do I Live,5019,2,2003-11-18,spotify:track:5VJlvaPufnazmTvt2sHQqc
Don't Lose My Number - 2016 Remaster,227,6,1985-01-25,spotify:track:2ZIzyHDYsXIHUojfr6bAbO
Ave Mary A,228,11,2008-10-24,spotify:track:6gBv6ujrI1Ta5wE8FtgMFX
Last Thing on My Mind,229,4,2000,spotify:track:32F14OcdAGM9jQm9XxR5qv
When Will I Be Loved,230,53,2017-09-15,spotify:track:7DJ0MFT63UDe5gzD7VFYJ6
Miss Sarajevo,231,7,1995-01-01,spotify:track:2C3RaGRcUWBlgKoLzQvRDS
Against The Wind,232,6,1980-02-25,spotify:track:1SWmFiFSIBoDbQJjNKC7SR
Lady Bump,233,1,1975,spotify:track:31UBcyZkwJRy2ZV5XpMlxh
Jump In The Pool,234,1,2009-08-30,spotify:track:4anehmsEuhkXRjm6HAocaj
Help Yourself,235,4,2010-01-01,spotify:track:357A5woJFJjhOLjHbUr2AU
Every Heartbeat,236,3,1991,spotify:track:55lX3vm1G35mUpawXHK5Te
Disarm,237,6,2001-01-01,spotify:track:0Wl42CUb1phIU9O2aR1wXI
Sexy Love,238,4,2014-03-14,spotify:track:2bS8qFEEsbBht032fzVPZ5
You're the One,239,11,2013-04-12,spotify:track:4SOwSwa3vvq6B6Za84N5kh
Have I Told You Lately,240,11,2014-12-09,spotify:track:3BliUWoxPngMNAQKCR8sRi
Candle In The Wind,241,8,1990-01-01,spotify:track:1ZvS1DmW1cF0oknYGCVNK7
I Knew I Loved You,242,3,2000-06-12,spotify:track:04FuQwYgBdeYxdnv6Ve9mK
Free,243,3,1998-04-27,spotify:track:5RC9olve1FVs1bnIneatm8
Feels So Right,244,1,2020-01-17,spotify:track:2ctY9KP7zLgfmf1GnKxMBq
Rock'n Me,245,8,1976-01-01,spotify:track:1orVKbp6vqtfAPOmvRofVq
I'm an Albatraoz,246,1,2014-08-08,spotify:track:5MhsZlmKJG6X5kTHkdwC4B
Victims,247,10,1983-10-01,spotify:track:5wzEaFZ87acfJNVlIDoZE8
Love Letters,248,15,1995-01-01,spotify:track:0FExfsU24F7hO8f1UOtApd
This Ain't A Love Song,249,3,1995-06-27,spotify:track:7Kf8vPW2GYpnzdbtpl4bEz
Memphis Tennessee,250,9,1964-01-01,spotify:track:43qSGIUGX1Ox07xPJ9AT9o
Here With Me,251,1,2019-03-08,spotify:track:5icOoE6VgqFKohjWWNp0Ac
I Believe in You,252,1,2016-10-21,spotify:track:67aeyMdt7cgb8l9zg53Pfm
Shimmer,253,3,2005,spotify:track:6DzbmjkVZpz1mrDobAoJI8
If It's Lovin' That You Want,254,3,2005-08-29,spotify:track:40tnMfqlJ5PTNJFlx1U2RL
Are You With Me - Radio Edit,255,1,2008,spotify:track:7rESBzoqp0FGxElzjRuMDB
